presentation_title,speaker,institution,session_title,time,room,building,year,society
NA,Lourdes Alberto,Univ. of Utah,Indigenous Publics: Academic Freedom and Decolonial Scholarship,1:45–3:00 p.m.,10A,ACC,2016,MLA
NA,Warren Cariou,Univ. of Manitoba,Indigenous Publics: Academic Freedom and Decolonial Scholarship,1:45–3:00 p.m.,10A,ACC,2016,MLA
NA,Mishuana R. Goeman,Univ. of California,Indigenous Publics: Academic Freedom and Decolonial Scholarship,1:45–3:00 p.m.,10A,ACC,2016,MLA
NA,Alyosha Goldstein,Univ. of New Mexico,Indigenous Publics: Academic Freedom and Decolonial Scholarship,1:45–3:00 p.m.,10A,ACC,2016,MLA
NA,Nicky Agate,MLA,Speed Mentoring,1:45–3:00 p.m.,16A,ACC,2016,MLA
NA,Omar Ka,Univ. of Maryland Baltimore County,Speed Mentoring,1:45–3:00 p.m.,16A,ACC,2016,MLA
NA,June Miyasaki,Los Angeles Valley Coll.,Speed Mentoring,1:45–3:00 p.m.,16A,ACC,2016,MLA
NA,William Nichols,Georgia State Univ.,Speed Mentoring,1:45–3:00 p.m.,16A,ACC,2016,MLA
NA,Karen A. Stolley,Emory Univ.,Speed Mentoring,1:45–3:00 p.m.,16A,ACC,2016,MLA
Checkpoints: Global Black Literature and the Phenomenology of Movement,Christopher Ian Foster,Graduate Center,Checkpoints,1:45–3:00 p.m.,4BC,ACC,2016,MLA
Indigeneity and Federalism’s Fissures in the United States,Joseph Bauerkemper,Univ. of Minnesota,Checkpoints,1:45–3:00 p.m.,4BC,ACC,2016,MLA
"Boundaries of Race, Place, and Form: The Atlanta Child Murders in African American Literature",Courtney Thorsson,Univ. of Oregon,Checkpoints,1:45–3:00 p.m.,4BC,ACC,2016,MLA
"Troubling Ecology: Wangechi Mutu, Afrofuturism, and Black Feminist Interventions in Western Environmentalism",Chelsea Frazier,Northwestern Univ.,How Stellar Got Its Groove Back: Feminist Voices in Diasporic Afrofuturism,1:45–3:00 p.m.,5C,ACC,2016,MLA
(Re)Envisioning the Past: Resisting Genre and Revisiting History in the Science Fiction of Okorafor and Kahiu,Amanda Rico,Northwestern Univ.,How Stellar Got Its Groove Back: Feminist Voices in Diasporic Afrofuturism,1:45–3:00 p.m.,5C,ACC,2016,MLA
Symbols of Africa in Science Fiction by Black Women,Sandra Marie Grayson,Univ. of Wisconsin,How Stellar Got Its Groove Back: Feminist Voices in Diasporic Afrofuturism,1:45–3:00 p.m.,5C,ACC,2016,MLA
Tananarive Due’s The Between and the Disruption of the Ancestral Cycle,Venetria Kirsten Patton,Purdue Univ.,How Stellar Got Its Groove Back: Feminist Voices in Diasporic Afrofuturism,1:45–3:00 p.m.,5C,ACC,2016,MLA
"Actresses, Athletes, and Acrobats",Barbara Louise Mujica,Georgetown Univ.,"Women and Performance in the Spanish Comedia
      ",1:45–3:00 p.m.,306,JW Marriott,2016,MLA
"Women, Spectacle, and Social Disorder in the Corral de Comedias",Glenda Y. Nieto-Cuebas,Ohio Wesleyan Univ.,"Women and Performance in the Spanish Comedia
      ",1:45–3:00 p.m.,306,JW Marriott,2016,MLA
Entre recuerdos y olvidos: El espectáculo teatral conventual y la escritura de Sor Marcela de San Félix como elixir de la memoria,Elena Neacsu,Univ. of Virginia,"Women and Performance in the Spanish Comedia
      ",1:45–3:00 p.m.,306,JW Marriott,2016,MLA
Dirty Saints and Pilgrim Porn: The Old English Saint Mary of Egypt and Medieval Proto-pornography,Penelope Meyers,New York Univ.,The Pornographic and the Literary,1:45–3:00 p.m.,18D,ACC,2016,MLA
How Pornography Became Erotic,Kathleen M. Lubey,Saint John's Univ.,The Pornographic and the Literary,1:45–3:00 p.m.,18D,ACC,2016,MLA
"After Obscenity: Literature, Gay Pornography, and the Value of Promiscuity",Steven Ruszczycky,Univ. at Buffalo,The Pornographic and the Literary,1:45–3:00 p.m.,18D,ACC,2016,MLA
NA,Timothy Bewes,Brown Univ.,"Lukács's Theory of the Novel at One Hundred: Historicism, Realism, Critique",1:45–3:00 p.m.,401,JW Marriott,2016,MLA
NA,Joshua Clover,Univ. of California,"Lukács's Theory of the Novel at One Hundred: Historicism, Realism, Critique",1:45–3:00 p.m.,401,JW Marriott,2016,MLA
NA,Tom Eyers,Duquesne Univ.,"Lukács's Theory of the Novel at One Hundred: Historicism, Realism, Critique",1:45–3:00 p.m.,401,JW Marriott,2016,MLA
NA,Andrew Hoberek,Univ. of Missouri,"Lukács's Theory of the Novel at One Hundred: Historicism, Realism, Critique",1:45–3:00 p.m.,401,JW Marriott,2016,MLA
NA,Sandra Macpherson,Ohio State Univ.,"Lukács's Theory of the Novel at One Hundred: Historicism, Realism, Critique",1:45–3:00 p.m.,401,JW Marriott,2016,MLA
NA,Ignacio Sanchez Prado,Washington Univ. in St. Louis,"Lukács's Theory of the Novel at One Hundred: Historicism, Realism, Critique",1:45–3:00 p.m.,401,JW Marriott,2016,MLA
NA,Emily Steinlight,Univ. of Pennsylvania,"Lukács's Theory of the Novel at One Hundred: Historicism, Realism, Critique",1:45–3:00 p.m.,401,JW Marriott,2016,MLA
NA,Aaron Bady,Univ. of Texas,Global Anglophone? The View from Africa,1:45–3:00 p.m.,Lone Star C,JW Marriott,2016,MLA
NA,Wendy Laura Belcher,Princeton Univ.,Global Anglophone? The View from Africa,1:45–3:00 p.m.,Lone Star C,JW Marriott,2016,MLA
NA,Stephanie Bosch Santana,NA,Global Anglophone? The View from Africa,1:45–3:00 p.m.,Lone Star C,JW Marriott,2016,MLA
NA,Mũkoma Wa Ngũgĩ,Cornell Univ.,Global Anglophone? The View from Africa,1:45–3:00 p.m.,Lone Star C,JW Marriott,2016,MLA
NA,Duncan McEachern Yoon,Univ. of Alabama,Global Anglophone? The View from Africa,1:45–3:00 p.m.,Lone Star C,JW Marriott,2016,MLA
NA,Esther Fernández,Rice Univ.,Performing Spain's Historical Memory,1:45–3:00 p.m.,309,JW Marriott,2016,MLA
NA,Alison Guzmán,Providence Coll.,Performing Spain's Historical Memory,1:45–3:00 p.m.,309,JW Marriott,2016,MLA
NA,Juan Hernando Vázquez,NA,Performing Spain's Historical Memory,1:45–3:00 p.m.,309,JW Marriott,2016,MLA
NA,Victoria Louise Ketz,La Salle Univ.,Performing Spain's Historical Memory,1:45–3:00 p.m.,309,JW Marriott,2016,MLA
NA,Payton Phillips Quintanilla,Univ. of California,Performing Spain's Historical Memory,1:45–3:00 p.m.,309,JW Marriott,2016,MLA
NA,Mar Soria,Univ. of Missouri,Performing Spain's Historical Memory,1:45–3:00 p.m.,309,JW Marriott,2016,MLA
NA,Thomas Barker,Univ. of Alberta,"The Austin Music Scene and Its Publics: Willie Nelson, Janis Joplin, Doug Sahm, and Friends",1:45–3:00 p.m.,203,JW Marriott,2016,MLA
NA,Ben Child,Colgate Univ.,"The Austin Music Scene and Its Publics: Willie Nelson, Janis Joplin, Doug Sahm, and Friends",1:45–3:00 p.m.,203,JW Marriott,2016,MLA
NA,Tanya E. Clement,Univ. of Texas,"The Austin Music Scene and Its Publics: Willie Nelson, Janis Joplin, Doug Sahm, and Friends",1:45–3:00 p.m.,203,JW Marriott,2016,MLA
NA,Alice Echols,Univ. of Southern California,"The Austin Music Scene and Its Publics: Willie Nelson, Janis Joplin, Doug Sahm, and Friends",1:45–3:00 p.m.,203,JW Marriott,2016,MLA
NA,Kimmie Rhodes,musician,"The Austin Music Scene and Its Publics: Willie Nelson, Janis Joplin, Doug Sahm, and Friends",1:45–3:00 p.m.,203,JW Marriott,2016,MLA
NA,Bobby Earl Smith,musician,"The Austin Music Scene and Its Publics: Willie Nelson, Janis Joplin, Doug Sahm, and Friends",1:45–3:00 p.m.,203,JW Marriott,2016,MLA
NA,Eric Aronoff,Michigan State Univ.,Edith Wharton and the Fin de Siècle,1:45–3:00 p.m.,9B,ACC,2016,MLA
NA,Shannon Brennan,Univ. of California,Edith Wharton and the Fin de Siècle,1:45–3:00 p.m.,9B,ACC,2016,MLA
NA,Myrto Drizou,Valdosta State Univ.,Edith Wharton and the Fin de Siècle,1:45–3:00 p.m.,9B,ACC,2016,MLA
NA,Meredith Lynn Goldsmith,Ursinus Coll.,Edith Wharton and the Fin de Siècle,1:45–3:00 p.m.,9B,ACC,2016,MLA
NA,Madeleine Vala,Univ. of Puerto Rico,Edith Wharton and the Fin de Siècle,1:45–3:00 p.m.,9B,ACC,2016,MLA
"Murmurously Queer Modernism: Sound, Proximity, and Antinormativity in A Portrait of the Artist as a Young Man",Jeremy Lakoff,Univ. at Buffalo,Queer Proximities,1:45–3:00 p.m.,8A,ACC,2016,MLA
How to Live Together at Grey Gardens,Corey McEleney,Fordham Univ.,Queer Proximities,1:45–3:00 p.m.,8A,ACC,2016,MLA
Opaque Desires,Christina León,Oregon State Univ.,Queer Proximities,1:45–3:00 p.m.,8A,ACC,2016,MLA
Inevitability Artist: Mark Aguhar’s Aesthetics of Racial Proximity,Roy Pérez,Willamette Univ.,Queer Proximities,1:45–3:00 p.m.,8A,ACC,2016,MLA
Mann’s Wagner Reflections: Depth Perception and Anti-Semitism,Stefani Engelstein,Duke Univ.,German Reading Publics from 1800 to the Future,1:45–3:00 p.m.,310,JW Marriott,2016,MLA
'Sogar im Hemd hat er Taschen!': Repetition and Ironic Reading between Freytag and Kafka,Erica Weitzman,Northwestern Univ.,German Reading Publics from 1800 to the Future,1:45–3:00 p.m.,310,JW Marriott,2016,MLA
Cultivating the Ideal Reader in Adalbert Stifter’s Der Nachsommer,Elizabeth Schreiber-Byers,Ball State Univ.,German Reading Publics from 1800 to the Future,1:45–3:00 p.m.,310,JW Marriott,2016,MLA
The Limits of Knowledge:  Disability and Monstrosity in Early Modern France,Kathleen P. Long,Cornell Univ.,"Prefiguring ""Disability"" in Renaissance France",1:45–3:00 p.m.,208,JW Marriott,2016,MLA
The Unkindest Cut: Montaigne and the Castration Conundrum,Dora E. Polachek,Binghamton Univ.,"Prefiguring ""Disability"" in Renaissance France",1:45–3:00 p.m.,208,JW Marriott,2016,MLA
"Deafness, Social Disconnect, and Nostalgic Abandon in Du Bellay’s Sonnets of Exile",David de Posada,Georgia Coll. and State Univ.,"Prefiguring ""Disability"" in Renaissance France",1:45–3:00 p.m.,208,JW Marriott,2016,MLA
Chaucer and the Sea of Stories: Charting The Legend of Good Women across the Medieval Mediterranean,Christine Nuhad Chism,Univ. of California,Cosmopolitan Chaucer,1:45–3:00 p.m.,303,JW Marriott,2016,MLA
Apollo’s Crow and Its Kin in Silk Road Frame Tales,Gabriel Ford,Davidson Coll.,Cosmopolitan Chaucer,1:45–3:00 p.m.,303,JW Marriott,2016,MLA
'In This Large World Ysprad': Cosmopolitanism and Chaucer’s Prioress,Susan M. Nakley,Saint Joseph's Coll.,Cosmopolitan Chaucer,1:45–3:00 p.m.,303,JW Marriott,2016,MLA
Radical Exposure: Regina Galindo's Earth,Diana Taylor,New York Univ.,Crossings in Hemispheric Encounters and Memory Studies,1:45–3:00 p.m.,406,JW Marriott,2016,MLA
"Geo-choreographies: Acceleration, Rivers, and Earth Movements",Macarena Gomez Barris,Univ. of Southern California,Crossings in Hemispheric Encounters and Memory Studies,1:45–3:00 p.m.,406,JW Marriott,2016,MLA
Circum-oceanic Networks of Forgetting,Ana Paulina Lee,Columbia Univ.,Crossings in Hemispheric Encounters and Memory Studies,1:45–3:00 p.m.,406,JW Marriott,2016,MLA
Contemplating Rasanblaj: Distances between the Dead and the Living,Gina Athena Ulysse,NA,Crossings in Hemispheric Encounters and Memory Studies,1:45–3:00 p.m.,406,JW Marriott,2016,MLA
NA,R. Kirk Belnap,Brigham Young Univ.,Enrollments in Languages Other Than English,1:45–3:00 p.m.,201,JW Marriott,2016,MLA
NA,Malcolm Alan Compitello,Univ. of Arizona,Enrollments in Languages Other Than English,1:45–3:00 p.m.,201,JW Marriott,2016,MLA
NA,Carol Anne Costabile-Heming,Univ. of North Texas,Enrollments in Languages Other Than English,1:45–3:00 p.m.,201,JW Marriott,2016,MLA
NA,Thomas J. Garza,Univ. of Texas,Enrollments in Languages Other Than English,1:45–3:00 p.m.,201,JW Marriott,2016,MLA
NA,Ginger Marcus,Washington Univ. in St. Louis,Enrollments in Languages Other Than English,1:45–3:00 p.m.,201,JW Marriott,2016,MLA
NA,Colleen M. Ryan,Indiana Univ.,Enrollments in Languages Other Than English,1:45–3:00 p.m.,201,JW Marriott,2016,MLA
NA,Galal Walker,Ohio State Univ.,Enrollments in Languages Other Than English,1:45–3:00 p.m.,201,JW Marriott,2016,MLA
NA,Heather Willis Allen,Univ. of Wisconsin,Enrollments in Languages Other Than English,1:45–3:00 p.m.,201,JW Marriott,2016,MLA
"Expanding Vistas, Queering Tourism: Landscape Art in the Works of Sarah Orne Jewett",J. Samaine Lockwood,George Mason Univ.,Visualizing Regions,1:45–3:00 p.m.,407,JW Marriott,2016,MLA
Reading below the (Bible) Belt: Theology and Ekphrasis in Eudora Welty and Flannery O’Connor,Brandi So,NA,Visualizing Regions,1:45–3:00 p.m.,407,JW Marriott,2016,MLA
"Geographies of Oz: L. Frank Baum, Travel, and Colonized Spaces",Craig Svonkin,Metropolitan State Univ. of  Denver,Visualizing Regions,1:45–3:00 p.m.,407,JW Marriott,2016,MLA
Visioning Oceania with John Kneubuhl and Victoria Nalani Kneubuhl,Cheryl D. Edelson,Chaminade Univ.; Stanley D. Orr,Visualizing Regions,1:45–3:00 p.m.,407,JW Marriott,2016,MLA
NA,Kate Nace Day,Suffolk Univ.,The Language of Sexual Violence and the Rhetoric of Consent,1:45–3:00 p.m.,6A,ACC,2016,MLA
NA,Anastasia Salter,Univ. of Central Florida,The Language of Sexual Violence and the Rhetoric of Consent,1:45–3:00 p.m.,6A,ACC,2016,MLA
NA,Aishah Shahidah Simmons,independent scholar,The Language of Sexual Violence and the Rhetoric of Consent,1:45–3:00 p.m.,6A,ACC,2016,MLA
NA,Ariana E. Vigil,Univ. of North Carolina,The Language of Sexual Violence and the Rhetoric of Consent,1:45–3:00 p.m.,6A,ACC,2016,MLA
NA,Rebecca A. Wanzo,Washington Univ. in St. Louis,The Language of Sexual Violence and the Rhetoric of Consent,1:45–3:00 p.m.,6A,ACC,2016,MLA
Scott’s Children: Romantic Poetry and Mass Education at the Turn of the Century,Michael C. Cohen,Univ. of California,"Nineteenth-Century Publics, Romantic Readers",1:45–3:00 p.m.,301,JW Marriott,2016,MLA
Public Service: Announcement or Utterance,Lenora Hanson,Univ. of Wisconsin,"Nineteenth-Century Publics, Romantic Readers",1:45–3:00 p.m.,301,JW Marriott,2016,MLA
"Hegel, Brummell, and the Actuarial Public",Chad McCracken,Lake Forest Coll.,"Nineteenth-Century Publics, Romantic Readers",1:45–3:00 p.m.,301,JW Marriott,2016,MLA
Doaa El-Adl and Cartoon Artists from Egypt,Aisha Nasser,Oregon State Univ.,Graphic Interventions: Visual Cultures of the Arab World,1:45–3:00 p.m.,402,JW Marriott,2016,MLA
"Women, Art, and Revolution in the Streets of Egypt",Nevine El Nossery,Univ. of Wisconsin,Graphic Interventions: Visual Cultures of the Arab World,1:45–3:00 p.m.,402,JW Marriott,2016,MLA
'The Walls Are Talking to Me': Beirut Graffiti and the Reappropriation of Public Space,Nadine Sinno,Virginia Polytechnic Inst. and State Univ.,Graphic Interventions: Visual Cultures of the Arab World,1:45–3:00 p.m.,402,JW Marriott,2016,MLA
Leadership Studies and the Epic,Matthew J. Bailey,Washington and Lee Univ.,New Currents in Medieval Iberian Studies,1:45–3:00 p.m.,209,JW Marriott,2016,MLA
Política de la alegría: La modernidad al tablero en la Iberia alfonsí,Juan Escourido,Univ. of Pennsylvania,New Currents in Medieval Iberian Studies,1:45–3:00 p.m.,209,JW Marriott,2016,MLA
Reading the Libro de buen amor Transconfessionally,Gregory S. Hutcheson,Univ. of Louisville,New Currents in Medieval Iberian Studies,1:45–3:00 p.m.,209,JW Marriott,2016,MLA
The Question of the Animal and the Definition of the Human,Wendell Patrick Smith,Wilson Coll.,New Currents in Medieval Iberian Studies,1:45–3:00 p.m.,209,JW Marriott,2016,MLA
Politics and Visibility: Documentary Aesthetics and 17 October 1961,Maria Flood,Cornell Univ.,Visibility and the Stakes of Representation in Contemporary French Culture,1:45–3:00 p.m.,404,JW Marriott,2016,MLA
Où est Charlie? Representations of French Diversity—and Lack Thereof—in Quai d’Orsay,Catherine S. Webster,Univ. of Central Oklahoma,Visibility and the Stakes of Representation in Contemporary French Culture,1:45–3:00 p.m.,404,JW Marriott,2016,MLA
Free-Speech Rights: France as a Case in Point,Meaghan Emery,Univ. of Vermont,Visibility and the Stakes of Representation in Contemporary French Culture,1:45–3:00 p.m.,404,JW Marriott,2016,MLA
Auto-spectrality: Ethno-cultural Ghosts in Almog Behar and Toni Morrison,Karen Grumberg,Univ. of Texas,The Collapse of the Margins: Contemporary Israeli Culture,1:45–3:00 p.m.,302,JW Marriott,2016,MLA
"Mizrachi Witches: Feminist Symbols or Orientalist Fantasies of Israeli Cinema?"" Rachel S. Harris, Univ. of Illinois, Urbana",NA,NA,The Collapse of the Margins: Contemporary Israeli Culture,1:45–3:00 p.m.,302,JW Marriott,2016,MLA
'State of Fantasy': Shani Boianjiu and Israeli Feminist Militarism,Itay Eisinger,Univ. of Texas,The Collapse of the Margins: Contemporary Israeli Culture,1:45–3:00 p.m.,302,JW Marriott,2016,MLA
Toward a Political Change: Disabled Dance in Israel,Ilana Szobel,Brandeis Univ.,The Collapse of the Margins: Contemporary Israeli Culture,1:45–3:00 p.m.,302,JW Marriott,2016,MLA
NA,Joyce Baker,National Language Service Corps,Using Your Language Proficiency and Cultural Expertise in a Federal Government Career,3:00–5:00 p.m.,Lone Star G,JW Marriott,2016,MLA
NA,Richard Donovan,Defense Language Inst.,Using Your Language Proficiency and Cultural Expertise in a Federal Government Career,3:00–5:00 p.m.,Lone Star G,JW Marriott,2016,MLA
NA,Esther Isasia-Ross,FBI Language Services,Using Your Language Proficiency and Cultural Expertise in a Federal Government Career,3:00–5:00 p.m.,Lone Star G,JW Marriott,2016,MLA
NA,Julie Johnson,United States Dept. of State,Using Your Language Proficiency and Cultural Expertise in a Federal Government Career,3:00–5:00 p.m.,Lone Star G,JW Marriott,2016,MLA
NA,Roy Savoy,National Security Education Program,Using Your Language Proficiency and Cultural Expertise in a Federal Government Career,3:00–5:00 p.m.,Lone Star G,JW Marriott,2016,MLA
NA,Patrice Shackleford,language recruiter,Using Your Language Proficiency and Cultural Expertise in a Federal Government Career,3:00–5:00 p.m.,Lone Star G,JW Marriott,2016,MLA
NA,Pedro Ángel Palou García,Tufts Univ.,"Veinte años después: La generación del ""Crack"" y la literatura latinoamericana contemporánea",3:30–4:45 p.m.,203,JW Marriott,2016,MLA
NA,Eloy Urroz,The Citadel,"Veinte años después: La generación del ""Crack"" y la literatura latinoamericana contemporánea",3:30–4:45 p.m.,203,JW Marriott,2016,MLA
NA,Jorge Volpi,Festival Cervantino,"Veinte años después: La generación del ""Crack"" y la literatura latinoamericana contemporánea",3:30–4:45 p.m.,203,JW Marriott,2016,MLA
NA,Jane Greenway Carr,New America,Bootstrapping Broads: On the Work of Writing Labor,3:30–4:45 p.m.,9B,ACC,2016,MLA
NA,Laura Fisher,Ryerson Polytechnic Univ.,Bootstrapping Broads: On the Work of Writing Labor,3:30–4:45 p.m.,9B,ACC,2016,MLA
NA,Lori A. Merish,Georgetown Univ.,Bootstrapping Broads: On the Work of Writing Labor,3:30–4:45 p.m.,9B,ACC,2016,MLA
NA,Gretchen Murphy,Univ. of Texas,Bootstrapping Broads: On the Work of Writing Labor,3:30–4:45 p.m.,9B,ACC,2016,MLA
NA,Marion Leeson Rust,Univ. of Kentucky,Bootstrapping Broads: On the Work of Writing Labor,3:30–4:45 p.m.,9B,ACC,2016,MLA
NA,Kaye Wierzbicki,Dumbarton Oaks Research Library and Collection,Bootstrapping Broads: On the Work of Writing Labor,3:30–4:45 p.m.,9B,ACC,2016,MLA
Making the Body Visible: Using Investigative Poetics to Document Public Dissent,Tana Jean Welch,Florida State Univ.,Poetry and Dissent in American Public Life,3:30–4:45 p.m.,19A,ACC,2016,MLA
Native Subjects: Sentimental Resistance in Lydia Sigourney’s Poems about Indian Removal,Elizabeth Petrino,Fairfield Univ.,Poetry and Dissent in American Public Life,3:30–4:45 p.m.,19A,ACC,2016,MLA
"Protest, Poetry, and Community in the National Labor Tribune",Brianne Jaquette,Coll. of the Bahamas,Poetry and Dissent in American Public Life,3:30–4:45 p.m.,19A,ACC,2016,MLA
'Will You Fight with Me?': Beulah Richardson and the 1951 Sojourn for Truth and Justice,Michael W. Bibby,Shippensburg Univ.,Poetry and Dissent in American Public Life,3:30–4:45 p.m.,19A,ACC,2016,MLA
Roman Osminkin's Performative Poetry: Between Tretyakov and Prigov,Mark N. Lipovetsky,Univ. of Colorado,Contemporary Art Activism in Russia,3:30–4:45 p.m.,209,JW Marriott,2016,MLA
The Vulnerable Body as a Political Instrument in Contemporary Russian Art Activism,Colleen McQuillen,Univ. of Illinois,Contemporary Art Activism in Russia,3:30–4:45 p.m.,209,JW Marriott,2016,MLA
How to Snatch a Chicken:  The Voina Group’s Festive Indistinction,Jonathan Brooks Platt,Univ. of Pittsburgh,Contemporary Art Activism in Russia,3:30–4:45 p.m.,209,JW Marriott,2016,MLA
"Disembodied Voices: The Phonograph, the Telephone, and the Question of Identity",Sos Ann Eltis,Univ. of Oxford,Bernard Shaw and New Media,3:30–4:45 p.m.,5C,ACC,2016,MLA
Lunching with G. B.: The Art of Shavian Self-Caricature,Jonathan Goldman,New York Inst. of Tech.,Bernard Shaw and New Media,3:30–4:45 p.m.,5C,ACC,2016,MLA
The Shavian Screen: The Embrace of Bernard Shaw by the Early Intermedial Forms of British Television,John Wyver,Univ. of Westminster,Bernard Shaw and New Media,3:30–4:45 p.m.,5C,ACC,2016,MLA
Speaking for the Other: Inongo-vi Makomè’s Nativas,Michael F. Ugarte,Univ. of Missouri,"Theorizing the Global Hispanophone: Equatorial Guinea, Western Sahara, and Hispanophone Literature",3:30–4:45 p.m.,305,JW Marriott,2016,MLA
Djambe: The Deconstruction of Spanish Modernity in Donato Ndongo’s El metro,Brian Bobbitt,Univ. of Texas,"Theorizing the Global Hispanophone: Equatorial Guinea, Western Sahara, and Hispanophone Literature",3:30–4:45 p.m.,305,JW Marriott,2016,MLA
'Performance’ de inocencia para imaginar Guinea Ecuatorial en un espacio cultural global,Baltasar Fra-Molinero,Bates Coll.,"Theorizing the Global Hispanophone: Equatorial Guinea, Western Sahara, and Hispanophone Literature",3:30–4:45 p.m.,305,JW Marriott,2016,MLA
Decolonizing Hispanidad: The Afterlives of Don Quijote in the Western Sahara and Equatorial Guinea,Martin Repinecz,Univ. of San Diego,"Theorizing the Global Hispanophone: Equatorial Guinea, Western Sahara, and Hispanophone Literature",3:30–4:45 p.m.,305,JW Marriott,2016,MLA
Mighty Oaks from Printers’ Fleurons Grow: The Wampanoag Bible and the Narratives of Its Acorn Glyphs,Steffi Dippold,Kansas State Univ.,The Letter Killeth but the Image Gives Life: Visual Literacies and Native Americans in Early America,3:30–4:45 p.m.,5A,ACC,2016,MLA
"A Tale of Three Empires: A Woodcut, the Transatlantic Indian, and the Broadside of Occom’s Sermon on the Execution of Moses Paul",Clayton Zuba,Univ. of Delaware,The Letter Killeth but the Image Gives Life: Visual Literacies and Native Americans in Early America,3:30–4:45 p.m.,5A,ACC,2016,MLA
The Face in William Apess’s Indian Looking Glass,Drew Lopenzina,NA,The Letter Killeth but the Image Gives Life: Visual Literacies and Native Americans in Early America,3:30–4:45 p.m.,5A,ACC,2016,MLA
'God’s Pedagogy': The Trouble with Normative Theology in Religion and Literature Studies,Christopher Douglas,Univ. of Victoria,American Literature and the Politics of Religion,3:30–4:45 p.m.,6B,ACC,2016,MLA
The Evasion of Normativity in Literary Scholarship on Religion,Matthew Mutter,Bard Coll.,American Literature and the Politics of Religion,3:30–4:45 p.m.,6B,ACC,2016,MLA
"'Dreams, Visions, Fictions': Secularism as Form in Twain’s Political Theology",Raymond L. Horton,NA,American Literature and the Politics of Religion,3:30–4:45 p.m.,6B,ACC,2016,MLA
"Andróginos: Male Friendship, Effeminacy, and Erotica in the Novels of Clarín, Galdós, and Pardo Bazán",Mehl Penrose,Univ. of Maryland,"Troubling Desire, Troubling Tradition in the Transatlantic Fin de Siglo
      ",3:30–4:45 p.m.,310,JW Marriott,2016,MLA
Fin-de-Siglo Porfirian Mexico: 'The Woman Question' in Mariano Azuela’s María Luisa (1907),Julio Enriquez-Ornelas,Univ. of Tennessee,"Troubling Desire, Troubling Tradition in the Transatlantic Fin de Siglo
      ",3:30–4:45 p.m.,310,JW Marriott,2016,MLA
Feminine Erotics Confront Modernismo: Violence and Parody in Agustini and Cáceres,Sarah Moody,NA,"Troubling Desire, Troubling Tradition in the Transatlantic Fin de Siglo
      ",3:30–4:45 p.m.,310,JW Marriott,2016,MLA
Graziella Garbalosa's La gozadora del dolor ('She Who Relishes Pain'; 1922),Nancy Anne LaGreca,Univ. of Oklahoma,"Troubling Desire, Troubling Tradition in the Transatlantic Fin de Siglo
      ",3:30–4:45 p.m.,310,JW Marriott,2016,MLA
Shakespeare for the Self-Help Crowd: How to Win Friends and Influence Princes,Kyle Pivetti,Norwich Univ.,Shakespeare and Twentieth- and Twenty-First-Century American Reading Publics,3:30–4:45 p.m.,8B,ACC,2016,MLA
"Shakespeare, Women Readers, and the Contemporary Novel",Elizabeth Rivlin,Clemson Univ.,Shakespeare and Twentieth- and Twenty-First-Century American Reading Publics,3:30–4:45 p.m.,8B,ACC,2016,MLA
‘Out Foul Spot': Dissenting Pedagogies in American Homeschool Editions of Shakespeare’s Macbeth,Jillian Snyder,Univ. of Notre Dame,Shakespeare and Twentieth- and Twenty-First-Century American Reading Publics,3:30–4:45 p.m.,8B,ACC,2016,MLA
Indigeneity and the Worlding of Postcolonialism,Haifa Alfaisal,King Saud Univ.,"Worlding the Postcolonial: Perspectives on Space, Place, and Indigeneity",3:30–4:45 p.m.,18A,ACC,2016,MLA
Worlding the Postcolonial: The Indigenous Turn in Postcolonial Literature,Pramod K. Mishra,Lewis Univ.,"Worlding the Postcolonial: Perspectives on Space, Place, and Indigeneity",3:30–4:45 p.m.,18A,ACC,2016,MLA
"Terraforming as Imperialism; or, Anthropogenic World Literature",Kyle McAuley,Rutgers Univ.,"Worlding the Postcolonial: Perspectives on Space, Place, and Indigeneity",3:30–4:45 p.m.,18A,ACC,2016,MLA
NA,Kimberly Anne Coles,Univ. of Maryland,The Myth of Post-canonicity: Early Modern Women Writers,3:30–4:45 p.m.,6A,ACC,2016,MLA
NA,Michelle M. Dowd,Univ. of North Carolina,The Myth of Post-canonicity: Early Modern Women Writers,3:30–4:45 p.m.,6A,ACC,2016,MLA
NA,Ula Klein,Texas A&M International Univ.,The Myth of Post-canonicity: Early Modern Women Writers,3:30–4:45 p.m.,6A,ACC,2016,MLA
NA,Rebecca Laroche,Univ. of Colorado,The Myth of Post-canonicity: Early Modern Women Writers,3:30–4:45 p.m.,6A,ACC,2016,MLA
NA,Mihoko Suzuki,Univ. of Miami,The Myth of Post-canonicity: Early Modern Women Writers,3:30–4:45 p.m.,6A,ACC,2016,MLA
Darwin’s Affect Theory,Rachel Ablow,Univ. at Buffalo,What the Victorians Can Do for Theory,3:30–4:45 p.m.,10A,ACC,2016,MLA
The Victorian Novel and British Object Relations Psychoanalysis,Alicia Christoff,Amherst Coll.,What the Victorians Can Do for Theory,3:30–4:45 p.m.,10A,ACC,2016,MLA
Theories of the Nineteenth Century,Zachary Samalin,Univ. of Chicago,What the Victorians Can Do for Theory,3:30–4:45 p.m.,10A,ACC,2016,MLA
